Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"07/03/2015","21 AILESBURY PARK, BALLSBRIDGE, DUBLIN 4","Dublin 4","Dublin","€1,700,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"07/03/2015","APT 3, DAME ST, DUBLIN 2","","Dublin","€270,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/03/2015","11 DEANERY BANKS, BELTURBET, CAVAN","","Cavan","€45,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/03/2015","13 BRIOT WALK, TEMPLARS HALL, WATERFORD","","Waterford","€80,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/03/2015","31 THE MANOR, CLONDULANE, FERMOY","","Cork","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/03/2015","72 Brown Street, Cul Rua, Portlaw","","Waterford","€60,000.00","No","Yes","New Dwelling house /Apartment","less than 38 sq metres"
"08/03/2015","78 CLUAIN GLAS, THURLES, TIPPERARY","","Tipperary","€132,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"08/03/2015","Letterfad, Letterbarrow","","Donegal","€83,835.00","No","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","1 BEVERLY PARK, KNOCKLYON, DUBLIN 16","Dublin 16","Dublin","€118,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","1 MILL VIEW, OLD MANGOR ROAD, CLONDALKIN","","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","1 RAILWAY VIEW, MONIVEA RD, ATHENRY","","Galway","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","1 RED ARCHES AVE, THE COAST, BALDOYLE DUBLIN 13","Dublin 13","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","1 SHEEN WOODS, KENMARE, KERRY","","Kerry","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","1 The Green, Tir Cluain, Knockgriffin  Midleton","","Cork","€118,942.73","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","1 THE ORCHARD, CARPENTERSTOWN RD, CASTLEKNOCK","Dublin 15","Dublin","€195,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","1 THE PARK, MILLBROOK LAWNS, TALLAGHT","Dublin 24","Dublin","€242,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","10 Ard na Locha, Lake Road, Moate","","Westmeath","€108,125.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","10 CHESTNUT DR, CLONMEL, TIPPERARY","","Tipperary","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","10 THE MEADOWS, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","101 THE PINES, CASTLEKNOCK, DUBLIN 15","Dublin 15","Dublin","€762,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","11 MOY GLAS AVE, LUCAN, DUBLIN","","Dublin","€155,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","11 ROEBUCK LAWN, CLONSKEAGH, DUBLIN 14","Dublin 14","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","11 TEMPLE VIEW RISE, CLAREHALL, DUBLIN 13","Dublin 13","Dublin","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","111 PACE RD, CLONEE, MEATH","Dublin 15","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","12 BLOCK 3, CLYBAUN ARD, CLYBAUN RD","","Galway","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","12 KEY WEST APTS, WEXFORD, WEXFORD","","Wexford","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","12 LOUGHGATE, PORTARLINGTON, LAOIS","","Laois","€142,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","12 Moorehall Rise, Hale Street, Ardee","","Louth","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","12 REDWOOD AVE, DUBLIN 24, DUBLIN","Dublin 24","Dublin","€255,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","12 Straffan Manor, New Road, Straffan","","Kildare","€392,070.48","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"09/03/2015","125 bridgemeadow, enniscorthy","","Wexford","€88,080.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","13 COILL DARACH CASTLEBLAYNEY, CASTLEBLAYNEY, MONAGHAN","","Monaghan","€86,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","134 BROOKLANDS, CLANE, KILDARE","","Kildare","€207,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","139 KILLESTER PARK, KILLESTER, DUBLIN 5","Dublin 5","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","14 BERWICK RISE, SWORDS MANOR, SWORDS","","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","14 CASTLEPARK RESIDENCE, CASTLEPARK ROAD, DALKEY","","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","14 MANOR SQ, ONGAR VILLAGE DUBLIN 15, DUBLIN","Dublin 15","Dublin","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","15 GLENWATERS, GLENFIN RD, BALLYBOFEY","","Donegal","€138,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","151 BALREASK MANOR, NAVAN","","Meath","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","153 CHARLESLAND COURT THE GLEN, GREYSTONES, WICKLOW","","Wicklow","€236,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","17 GLENAVON CRESCENT, DONNYBROOK, CORK","","Cork","€223,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","18 the paddocks, kildangan","","Kildare","€219,383.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","2 BED SIT FLATS AT GALWAY ROAD, KINNEGAD, CO WESTMEATH","","Westmeath","€13,200.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","2 DILLONS COURT, CHURCH LANE, MANORHAMILTON","","Leitrim","€8,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","2 Doyle Road, Turners Cross","","Cork","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","2 Stocking Well Close, Stocking Avenue, Rathfarnham","Dublin 16","Dublin","€237,885.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","20 Ard Na Ri, Castlelyons, Co Cork","","Cork","€156,869.91","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","20 NESSAN COURT, OLD CHURCH RD, RAHEEN","","Limerick","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","207 SEABOURNE VIEW, GREYSTONES, WICKLOW","","Wicklow","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","21 ARD ESKER, ATHENRY, CO GALWAY","","Galway","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","22 Lower Clevedon, Kilmoney, Carrigaline","","Cork","€259,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","22 MERLYN LAWN, BISHOPSTOWN, CORK","","Cork","€387,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","22 MOYGLARE COURT, MAYNOOTH, CO. KILDARE","","Kildare","€153,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","23 KELLYS BAY PARADE, SKERRIES, DUBLIN","","Dublin","€330,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","23 ROCKBARTON COURT, SALTHILL, GALWAY","","Galway","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","24 ARD CAOIN COURT, BALLYCASEY, SHANNON","","Clare","€89,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","24 MONEN VIEW, THE HOLLANDS, ATHY","","Kildare","€90,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","27 Cluain Aiobhinn, Swellan Lower, Cavan","","Cavan","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","27 Comerfords Cross, Portmarnock","","Dublin","€250,846.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","29 MALTON PARK COOLATTIN RD, CARNEW, ARKLOW","","Wicklow","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","3  Priors Point, Attirory, Carrick.on.Shannon","","Leitrim","€275,000.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","3 BRUACH NA SIONNA, OBRIENSBRIDGE, CLARE","","Clare","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","3 CASTLEGRANGE GREEN, CLONEE, DUBLIN 15","Dublin 15","Dublin","€206,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","3 RIVERSIDE VIEW, ABBEYROW, ATHENRY","","Galway","€120,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","30 GOLDCAVE CRESENT, TUAM, GALWAY","","Galway","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","34 ST FIACRE'S PLACE, KILKENNY","","Kilkenny","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","35 CASTLEPARK AVE, MALLOW, CORK","","Cork","€180,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","36 BROOKFORD, RUSH, CO DUBLIN","","Dublin","€266,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","38 AVONDALE COURT, BLACKROCK, DUBLIN","","Dublin","€712,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","4 LIOS AN  UISCE, MERLIN, RENMORE","","Galway","€151,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","41 WESTFIELD, SION HILL, BLACKROCK","","Dublin","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","42 WESTBOURNE GREEN, CLONDALKIN, DUBLIN 22","Dublin 22","Dublin","€165,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","44 MARIAN CRESCENT, RATHFARNHAM, DUBLIN 16","Dublin 14","Dublin","€536,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","45 Castlerock Avenue, castleconnell, County Limerick","","Limerick","€94,450.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","46 RIVER MEWS, WOODHAVEN, CASTLETROY","","Limerick","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","46 ST ASSAMS AVE, RAHENY, DUBLIN 5","Dublin 5","Dublin","€486,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","5 Bothar Tighernan, Attirory, Carrick-on-Shannon","","Leitrim","€57,269.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","5 SUNDALE GROVE, MOUNTAIN VIEW, TALLAGHT","Dublin 24","Dublin","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","52 BROOKHAVEN WALK, MILL RD, CORBALLY","","Limerick","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","552 MOURNE RD, DRIMNAGH, DUBLIN 12","Dublin 12","Dublin","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","5ATLANTIC DR, LISDOONVARNA, CLARE","","Clare","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","7 Carrig Bheag, Danescastle, Carrig on Bannow","","Wexford","€375,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","7 Esmonde Avenue, Ballinagappa Road, Clane","","Kildare","€277,533.03","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","7 LAOIS GARBH, BALLINASLOE, GALWAY","","Galway","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","7 THE PINES, BRIDGEMOUNT, CARRIGALINE","","Cork","€171,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","73 GARDINERS HILL, CORK, CORK","","Cork","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","73 TULLY, MONAGHAN, MONAGHAN","","Monaghan","€73,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","75 CASTLERIADA AVE, LUCAN, DUBLIN","","Dublin","€265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","8  Seafort Parade, Booterstown, Blackrock  Co. Dublin","","Dublin","€435,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","8 ABBEY RD, ATHLONE, WESTMEATH","","Westmeath","€145,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","8 ST NESSANS COURT, DOORADOYLE, LIMERICK","","Limerick","€66,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","9 EDEN PARK, CAHERONAUN, LOUGHREA","","Galway","€156,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","9 Hegarty Street, Millstreet","","Cork","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","98 DOORLY PARK, SLIGO","","Sligo","€125,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","99 Willlouise, Sherlockstown, Sallins","","Kildare","€298,400.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","Apartment 11 Creagh House, Mary Street, Limerick","","Limerick","€71,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","APARTMENT 3 CONNAUGHT COURT, REAR OF 116 CONNAUGHT STREET, KILCOCK","","Kildare","€92,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","Apt 16 Mount Prospect, Prospect, Mullingar","","Westmeath","€106,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","APT 2 STEWART HOUSE, 185 PARNELL STREET, DUBLIN 1","","Dublin","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","APT 3 STEWART HOUSE, 185 PARNELL ST, DUBLIN 1","","Dublin","€70,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","APT 46, PARCHMENT SQ, OLD MODEL RD","","Cork","€95,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","APT 5 GRANTSTOWN HOUSE, EARLSCOURT, DUNMORE RD","","Waterford","€57,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","Apt 6 Mitchell House, Appian Way, Ranelagh","Dublin 6","Dublin","€190,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","APT 8, AMHRA HOUSE, BOTHAR NA MBAN","","Galway","€145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","APT C6, OZIER PARK VIEW, WATERFORD","","Waterford","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","APT NO 40 GLEANN NA TRA, SANDY ROAD, GALWAY","","Galway","€178,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","ARDNAFINCH HOUSE, BALLAGHMORE, BORRIS IN OSSORY","","Laois","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","BALLYGLASS, BALLINAGARE, CASTLEREA","","Roscommon","€41,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","Ballynaneening, Crosshaven","","Cork","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","BOKANE, EASKEY, CO SLIGO","","Sligo","€30,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","CAHERMORE, BEARA","","Cork","€158,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","CAPPAMORE, CRUSHEEN, CLARE","","Clare","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","Carralavin, Bonniconlon, Ballina","","Mayo","€106,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","CARTYS LODGE, KILLENURE, GLASSON","","Westmeath","€175,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","CHAPEL ST, ELPHIN, ROSCOMMON","","Roscommon","€26,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","COLLISONS, LOWER MAIN ST, MONEYGALL","","Offaly","€66,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","CURRAGHTOWN, GARRISTOWN, MEATH","","Meath","€260,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","DERRYORGAN, BALLYCLOUGH, MALLOW","","Cork","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","DRUMGOON, KILLESHANDRA, CAVAN","","Cavan","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","ESHVEAGH, GLANGEVLIN, CARRICK-ON-SHANNON","","Leitrim","€85,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","GREEN ACRES CONVENT, KILMACUD RD UPPER, STILLORGAN DUBLIN 14","Dublin 14","Dublin","€1,000,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","HOUSE 1 -11, FULLERS LODGE, COLLEGE RD","","Cork","€2,212,570.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","IVY COTTAGE, DUNSINK, CASTLEKNOCK","","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","KIELIN HOUSE, EAST COMMONS, ARDFERT","","Kerry","€390,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","KNOC-NA-CARRIG, NEWCASTLE, CO WICKLOW","","Wicklow","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","Knockmarshal, Enniscorthy","","Wexford","€275,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","KNOCKNACULLEN, DOORAS, KINVARA","","Galway","€131,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","KYLEMORE CLINIC, 49 CHURCH ROAD, BALLYBRACK","","Dublin","€1,000,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","LACKBROODER, BROSNA, KERRY","","Kerry","€31,893.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","MAIN STREET, EMILY, CO TIPPERARY","","Tipperary","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","MOANMORE, CASTLEISLAND, KERRY","","Kerry","€170,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","MOUNT MINNETT CAHERCONLISH, CAHERCONLISH, LIMERICK","","Limerick","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","NEIDIN, ROSEABBEY, KINSALE","","Cork","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","New Line, Charleville","","Cork","€75,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","OLDCASTLE, COACHFORD, CORK","","Cork","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","POUNDLICK, SKIBEREEN, CO CORK","","Cork","€115,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","RAHAN RD, TULLAMORE, OFFALY","","Offaly","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","RIVER ST, CLARA, OFFALY","","Offaly","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","SHANLISS, GREENHILL ROAD, WICKLOW TOWN","","Wicklow","€518,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","STONEY COTTAGE, BRITTAS, DUBLIN","","Dublin","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","TAWNYEENY, GLENISLAND, CASTLEBAR","","Mayo","€240,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","The Haws, Churchtown, Carrigans","","Donegal","€167,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","TOORASKEHEEN, CLIFDEN, GALWAY","","Galway","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"09/03/2015","Unit 20 Seascape, 366 Clontarf Road","Dublin 3","Dublin","€444,933.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"09/03/2015","WEST WINDS, BALLINTIM, REDCROSS","","Wicklow","€230,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","10 INAGH RD, BALLYFERMOT UPR, DUBLIN 10","Dublin 10","Dublin","€162,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","10 Monaloe Way, Blackrock, Co. Dubin","","Dublin","€571,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","10 RYANS COTTAGES, ROSBRIEN, LIMERICK","","Limerick","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","10 SMITHFIELD GATE, DUBLIN 7","","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","10 VILLA BANK, PHIBSBOROUGH, DUBLIN 7","Dublin 7","Dublin","€214,690.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","104 College Square, Wainsfort Manor Drive, Terenue","Dublin 6w","Dublin","€620,000.00","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"10/03/2015","108 FIONNUISCE, DOUGHISKA, GALWAY","","Galway","€105,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","11 CASTLE HEATH, SWORDS RD, MALAHIDE","","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","11 MULLACH GLAS CRESCENT, MULLAGHMONAGHAN","","Monaghan","€62,506.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/03/2015","110 TURVEY WOODS, DONABATE, DUBLIN","","Dublin","€137,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","113 HERMITAGE, ENNIS, COUNTY CLARE","","Clare","€40,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","117 Richmond Court, Mount Kenneth Place, Limerick","","Limerick","€35,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","12 Castleland Park Way, Balbriggan","","Dublin","€189,427.31","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/03/2015","12 NEWMANS MILLS, ATHBOY, MEATH","","Meath","€50,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","144 Hampton Wood Avenue, Dublin","Dublin 11","Dublin","€193,832.59","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/03/2015","15 ABERCORN TERRACE, INCHICORE, DUBLIN 8","Dublin 8","Dublin","€274,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","15 BEECHMOUNT AVE, STAMEEN, DROGHEDA","","Louth","€318,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","15 COIS CHNOIC, MONACAPPA, DINGLE","","Kerry","€60,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","15 OCONNELL CRESCENT, TURNERS CROSS, CORK","","Cork","€135,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","16 Bracken Park Close, Carpenterstown Road, Castleknock","Dublin 15","Dublin","€493,392.07","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/03/2015","16 East Avenue, Lios Rua, Banduff","","Cork","€170,924.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/03/2015","17 Elm Park, Carraig An Aird, Six Cross Roads","","Waterford","€62,776.20","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/03/2015","17 ST MARYS RD, DUNDALK, LOUTH","","Louth","€150,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","189 A PHIBSBORO ROAD, PHIBSBORO, DUBLIN 7","","Dublin","€102,600.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","19 KILMANTIN RD, WICKLOW, WICKLOW","","Wicklow","€100,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","19 SAINT CATHERINE'S PARK, SANDYCOVE, CO. DUBLIN","","Dublin","€818,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","2 ARD CULLEN, OMEATH, LOUTH","","Louth","€220,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","2 Bellevue Park, Military Hill","","Cork","€420,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","2 SPEERS GREEN, FOREST PARK, DROMAHAIR","","Leitrim","€92,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","2 WATER STREET, CASTLEPOLLARD, MULLINGAR","","Westmeath","€94,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","21 BALLYFERMOT PARADE, BALLYFERMOT, DUBLIN 10","Dublin 10","Dublin","€185,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","23 MAPLE AVE, THE GALLOPS, LATT","","Cavan","€67,905.00","No","Yes","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"10/03/2015","23 MOUNTANDREW GROVE, LUCAN, DUBLIN","","Dublin","€142,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","24 ANNESLEY PLACE, NORTH STRAND, DUBLIN 3","Dublin 3","Dublin","€280,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","25 DE LA SALLE COURT, WICKLOW TOWN, CO.WICKLOW","","Wicklow","€158,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","25 ROSSDARA, LORETTO RD, KILLARNEY","","Kerry","€179,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","25 SEAVIEW, BALLYCASTLE, MAYO","","Mayo","€50,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","27 JOYCES HALL, COLLEGE FORT, CASTLEKNOCK DUBLIN 15","Dublin 15","Dublin","€155,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","3 PINE GROVE, COILL FADA, LONGWOOD","","Meath","€110,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"10/03/2015","3 Sandfield Terrace, Mallow","","Cork","€81,500.00","No","No","Second-Hand Dwelling house /Apartment",""
