Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"05/01/2015","35 Abbeyfield, Ballitore","","Kildare","€105,726.87","No","Yes","New Dwelling house /Apartment","greater than 125 sq metres"
"05/01/2015","35 BROOKHURST, COLLINS AVE, WATERFORD","","Waterford","€160,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","38 MEADOWBANK, BAILE NA DEISE, WATERFORD","","Waterford","€61,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","4 OAKLANDS, LONGFORD","","Longford","€59,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","40 ORMOND RD, RATHMINES, DUBLIN","Dublin 6","Dublin","€1,145,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","42 The Courtyard, Clonsilla","Dublin 15","Dublin","€140,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","5 MARYBOROUGH HEIGHTS, MARYBOROUGH HILL, DOUGLAS","","Cork","€250,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","5 SEXTON ST, ABBEYSIDE, DUNGARVAN","","Waterford","€65,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","61 CHARLEMONT, GRIFFITH AVE, DUBLIN 9","Dublin 9","Dublin","€557,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","62 Brackernagh, Ballinasloe","","Galway","€27,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","62A Brackernagh, Ballinasloe","","Galway","€27,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","65 MALTON HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER DUBLIN 1","Dublin 1","Dublin","€345,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","7 ST FINBARR'S ROAD, CABRA, DUBLIN 7","Dublin 7","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","71 MARLAY VIEW, BALLINTEER AVE, BALLINTEER DUBLIN 16","Dublin 16","Dublin","€295,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"05/01/2015","72 KING ST, WEXFORD, WEXFORD","","Wexford","€82,000.00","No","No","Second-Hand Dwelling house /Apartment",""
